iter	Passed	Remaining
1113	16071	56063
1114	16084	56042
1115	16097	56025
1116	16110	56003
1117	16123	55984
1118	16135	55961
1119	16148	55942
1120	16161	55922
1121	16178	55918
1122	16200	55928
1123	16223	55945
1124	16247	55964
1125	16274	55991
1126	16295	56001
1127	16308	55982
1128	16322	55964
1129	16335	55945
1130	16348	55925
1131	16360	55904
1132	16373	55885
1133	16388	55869
1134	16400	55848
1135	16413	55829
1136	16426	55811
1137	16441	55796
1138	16454	55776
1139	16467	55756
1140	16479	55735
1141	16491	55713
1142	16504	55693
1143	16517	55673
1144	16529	55652
1145	16542	55632
1146	16555	55612
1147	16568	55593
1148	16581	55573
1149	16593	55553
1150	16606	55534
1151	16620	55515
1152	16633	55497
1153	16646	55478
1154	16659	55458
1155	16672	55439
1156	16685	55419
1157	16698	55402
1158	16712	55385
1159	16724	55365
1160	16737	55345
1161	16750	55324
1162	16763	55306
1163	16776	55287
1164	16792	55278
1165	16805	55260
1166	16818	55241
1167	16831	55221
1168	16844	55203
1169	16857	55183
1170	16870	55165
1171	16883	55145
1172	16896	55126
1173	16910	55110
1174	16923	55092
1175	16937	55074
1176	16949	55054
1177	16963	55036
1178	16975	55016
1179	16988	54995
1180	17001	54977
1181	17019	54973
1182	17032	54954
1183	17044	54935
1184	17058	54916
1185	17070	54897
1186	17084	54880
1187	17097	54862
1188	17110	54844
1189	17123	54824
1190	17136	54804
1191	17149	54785
1192	17162	54766
1193	17175	54748
1194	17189	54733
1195	17201	54712
1196	17214	54692
1197	17227	54673
1198	17240	54654
1199	17252	54634
1200	17265	54615
1201	17278	54595
1202	17291	54577
1203	17304	54557
1204	17317	54539
1205	17330	54520
1206	17343	54500
1207	17356	54482
1208	17369	54463
1209	17381	54443
1210	17395	54426
1211	17409	54410
1212	17422	54391
1213	17435	54374
1214	17448	54354
1215	17460	54333
1216	17473	54315
1217	17485	54295
1218	17498	54276
1219	17511	54257
1220	17524	54237
1221	17537	54219
1222	17550	54201
1223	17564	54184
1224	17577	54165
1225	17590	54147
1226	17603	54129
1227	17615	54110
1228	17628	54090
1229	17641	54072
1230	17654	54054
1231	17668	54037
1232	17682	54023
1233	17696	54006
1234	17708	53986
1235	17721	53966
1236	17734	53948
1237	17747	53930
1238	17760	53911
1239	17772	53892
1240	17788	53882
1241	17804	53871
1242	17817	53853
1243	17830	53834
1244	17842	53815
1245	17855	53796
1246	17868	53778
1247	17881	53759
1248	17894	53741
1249	17908	53725
1250	17921	53707
1251	17934	53688
1252	17946	53669
1253	17960	53651
1254	17972	53632
1255	17985	53614
1256	18003	53608
1257	18015	53589
1258	18028	53571
1259	18042	53553
1260	18054	53534
1261	18068	53517
1262	18081	53501
1263	18094	53482
1264	18107	53463
1265	18120	53444
1266	18132	53425
1267	18145	53406
1268	18158	53389
1269	18172	53372
1270	18185	53355
1271	18198	53336
1272	18210	53315
1273	18223	53296
1274	18236	53278
1275	18248	53258
1276	18261	53239
1277	18274	53220
1278	18287	53203
1279	18299	53184
1280	18312	53163
1281	18324	53145
1282	18337	53126
1283	18350	53107
1284	18363	53090
1285	18376	53070
1286	18388	53051
1287	18402	53034
1288	18414	53016
1289	18427	52997
1290	18440	52977
1291	18452	52959
1292	18465	52940
1293	18478	52922
1294	18491	52904
1295	18504	52885
1296	18517	52868
1297	18530	52849
1298	18542	52830
1299	18555	52811
1300	18568	52792
1301	18580	52774
1302	18593	52755
1303	18606	52736
1304	18618	52717
1305	18631	52700
1306	18644	52682
1307	18658	52664
1308	18683	52683
1309	18697	52666
1310	18709	52647
1311	18723	52630
1312	18735	52611
1313	18748	52593
1314	18761	52575
1315	18775	52558
1316	18791	52550
1317	18804	52533
1318	18817	52515
1319	18830	52497
1320	18843	52479
1321	18856	52461
1322	18869	52444
1323	18882	52425
1324	18895	52407
1325	18908	52391
1326	18929	52393
1327	18941	52375
1328	18954	52357
1329	18968	52340
1330	18981	52322
1331	18999	52319
1332	19012	52300
1333	19024	52282
1334	19037	52264
1335	19050	52245
1336	19062	52226
1337	19076	52210
1338	19091	52198
1339	19103	52179
1340	19115	52159
1341	19128	52139
1342	19141	52121
1343	19153	52103
1344	19168	52089
1345	19180	52070
1346	19193	52052
1347	19206	52033
1348	19218	52014
1349	19231	51995
1350	19243	51977
1351	19257	51959
1352	19270	51942
1353	19282	51924
1354	19295	51906
1355	19308	51888
1356	19321	51869
1357	19334	51852
1358	19346	51832
1359	19359	51814
1360	19372	51797
1361	19379	51764
1362	19392	51745
1363	19405	51728
1364	19419	51713
1365	19431	51694
1366	19444	51675
1367	19456	51655
1368	19469	51638
1369	19482	51620
1370	19495	51603
1371	19508	51585
1372	19521	51568
1373	19534	51551
1374	19546	51532
1375	19559	51513
1376	19572	51495
1377	19585	51479
1378	19597	51460
1379	19613	51449
1380	19625	51430
1381	19638	51411
1382	19651	51395
1383	19665	51379
1384	19678	51362
1385	19691	51345
1386	19703	51325
1387	19715	51306
1388	19728	51287
1389	19744	51279
1390	19764	51278
1391	19777	51261
1392	19794	51254
1393	19806	51236
1394	19818	51216
1395	19831	51198
1396	19844	51180
1397	19856	51160
1398	19869	51143
1399	19882	51126
1400	19895	51109
1401	19908	51092
1402	19921	51075
1403	19934	51057
1404	19947	51039
1405	19959	51021
1406	19976	51012
1407	19989	50995
1408	20002	50977
1409	20014	50959
1410	20027	50941
1411	20040	50923
1412	20052	50904
1413	20065	50887
1414	20078	50871
1415	20091	50852
1416	20103	50833
1417	20116	50815
1418	20128	50797
1419	20141	50779
1420	20154	50761
1421	20169	50749
1422	20182	50733
1423	20195	50714
1424	20208	50698
1425	20221	50680
1426	20233	50662
1427	20246	50645
1428	20259	50628
1429	20273	50611
1430	20286	50595
1431	20298	50577
1432	20311	50559
1433	20324	50541
1434	20337	50524
1435	20349	50505
1436	20361	50486
1437	20375	50470
1438	20388	50453
1439	20401	50437
1440	20414	50418
1441	20426	50400
1442	20439	50382
1443	20451	50363
1444	20464	50346
1445	20477	50329
1446	20489	50310
1447	20502	50292
1448	20514	50275
1449	20527	50256
1450	20540	50239
1451	20553	50221
1452	20568	50209
1453	20585	50204
1454	20598	50186
1455	20611	50168
1456	20623	50150
1457	20636	50132
1458	20649	50115
1459	20663	50102
1460	20677	50086
1461	20689	50067
1462	20701	50049
1463	20714	50031
1464	20726	50012
1465	20739	49994
1466	20751	49976
1467	20764	49958
1468	20776	49940
1469	20794	49935
1470	20806	49916
1471	20819	49899
1472	20832	49882
1473	20845	49865
1474	20859	49850
1475	20872	49834
1476	20885	49817
1477	20899	49801
1478	20911	49784
1479	20924	49765
1480	20936	49746
1481	20948	49729
1482	20962	49714
1483	20978	49703
1484	20991	49685
1485	21003	49668
1486	21016	49651
1487	21029	49634
1488	21042	49616
1489	21055	49600
1490	21069	49585
1491	21081	49567
1492	21094	49550
1493	21107	49532
1494	21120	49516
1495	21132	49498
1496	21147	49484
1497	21160	49468
1498	21173	49451
1499	21186	49434
1500	21198	49416
1501	21211	49398
1502	21223	49379
1503	21238	49369
1504	21252	49352
1505	21265	49336
1506	21278	49320
1507	21291	49303
1508	21303	49285
1509	21316	49267
1510	21329	49250
1511	21342	49234
1512	21355	49218
1513	21369	49202
1514	21382	49186
1515	21395	49171
1516	21408	49152
1517	21420	49133
1518	21432	49115
1519	21445	49098
1520	21457	49080
1521	21470	49064
1522	21483	49046
1523	21496	49030
1524	21509	49012
1525	21521	48994
1526	21533	48975
1527	21546	48959
1528	21559	48942
1529	21579	48940
1530	21591	48923
1531	21604	48906
1532	21617	48889
1533	21630	48872
1534	21644	48858
1535	21656	48840
1536	21669	48824
1537	21682	48806
1538	21695	48789
1539	21708	48772
1540	21720	48755
1541	21733	48738
1542	21746	48722
1543	21759	48705
1544	21773	48690
1545	21791	48684
1546	21803	48666
1547	21816	48649
1548	21829	48632
1549	21841	48615
1550	21855	48599
1551	21868	48583
1552	21882	48570
1553	21895	48553
1554	21908	48537
1555	21921	48519
1556	21933	48501
1557	21946	48484
1558	21963	48477
1559	21976	48461
1560	21989	48444
1561	22002	48428
1562	22014	48410
1563	22027	48393
1564	22040	48377
1565	22054	48362
1566	22067	48346
1567	22080	48329
1568	22092	48311
1569	22106	48295
1570	22118	48278
1571	22131	48261
1572	22145	48247
1573	22158	48231
1574	22171	48214
1575	22184	48198
1576	22197	48181
1577	22210	48164
1578	22222	48146
1579	22235	48130
1580	22248	48113
1581	22261	48096
1582	22274	48080
1583	22286	48063
1584	22299	48046
1585	22312	48029
1586	22325	48012
1587	22338	47996
1588	22351	47979
1589	22364	47963
1590	22378	47949
1591	22390	47931
1592	22403	47915
1593	22416	47897
1594	22428	47880
1595	22441	47864
1596	22454	47848
1597	22467	47830
1598	22480	47815
1599	22493	47798
1600	22506	47782
1601	22525	47777
1602	22537	47760
1603	22550	47743
1604	22563	47726
1605	22576	47710
1606	22588	47693
